DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1995-Q1,1552295.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1995-Q2,1570766.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1995-Q3,1598116.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1995-Q4,1617041.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1996-Q1,1634559.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1996-Q2,1654978.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1996-Q3,1672622.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1996-Q4,1675805.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1997-Q1,1676130.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1997-Q2,1693982.4,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1997-Q3,1713476.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1997-Q4,1739699.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1998-Q1,1749801.8,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1998-Q2,1769734.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1998-Q3,1786531.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1998-Q4,1802796.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1999-Q1,1820851.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1999-Q2,1838141.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1999-Q3,1866917.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,1999-Q4,1896343.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2000-Q1,1929497.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2000-Q2,1958037.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2000-Q3,1980385.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2000-Q4,2003109.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2001-Q1,2035038.6,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2001-Q2,2055746.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2001-Q3,2066958.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2001-Q4,2087410.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2002-Q1,2109693.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2002-Q2,2126826.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2002-Q3,2145930.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2002-Q4,2160283.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2003-Q1,2165471.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2003-Q2,2178312.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2003-Q3,2205117.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2003-Q4,2225251.1,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2004-Q1,2248588.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2004-Q2,2279508.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2004-Q3,2299180.5,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2004-Q4,2326939.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2005-Q1,2347145.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2005-Q2,2370751.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2005-Q3,2401637.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2005-Q4,2435670.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2006-Q1,2469907.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2006-Q2,2512625.2,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2006-Q3,2542706.9,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2006-Q4,2591339.7,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2007-Q1,2634462.3,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2007-Q2,2669055.0,
ESTAT:NAMQ_10_GDP(1.0),11/11/21 11:00:00,Q,CP_MEUR,SCA,B1GQ,EU27_2020,2007-Q3,2698256.4,
